event_name,event_source,aws_region,identity_type,user_agent_category,is_new_ip_for_identity,is_new_region_for_identity,event_hour,is_off_hours,call_frequency_10m,target_user_is_different,is_privilege_action,error_status,mfa_authenticated,data_source,attack_type,scenario_id,event_time,identity_session_id,original_event_id,source_ip,user_name,identity_arn,is_threat
ListRoles,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,0,1,24,0,0,0,0,synthetic,none,syn-std-bg-2173,2026-04-01T00:02:45Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-008234,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0
DescribeSecurityGroups,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,0,1,7,0,0,0,0,synthetic,none,syn-std-bg-9665,2026-04-01T00:15:09Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-012031,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
AssumeRole,sts.amazonaws.com,ap-southeast-1,IAMUser,CLI,0,1,0,1,2,1,1,0,0,synthetic,unauthorized_role_assumption,syn-std-th-3308,2026-04-01T00:19:17Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-002381,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
PassRole,iam.amazonaws.com,ap-southeast-1,AssumedRole,SDK,0,1,0,1,1,0,1,0,0,synthetic,none,syn-std-bg-9852,2026-04-01T00:19:56Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-003121,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
UpdateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Other,1,0,0,1,3,0,1,0,0,synthetic,credential_activation_abuse,syn-std-th-5035,2026-04-01T00:26:27Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-010148,185.220.101.5,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
CreateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,0,1,1,0,1,0,0,synthetic,none,syn-std-bg-1357,2026-04-01T00:28:04Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-004221,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
GetObject,s3.amazonaws.com,us-east-1,IAMUser,SDK,1,1,0,1,1,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-8234,2026-04-01T00:28:51Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-009188,45.154.255.99,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
ListUsers,iam.amazonaws.com,us-east-1,IAMUser,Console,1,0,0,1,2,0,0,1,0,synthetic,cloud_intrusion_threat,syn-std-th-4408,2026-04-01T00:37:00Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-008480,45.154.255.99,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
PutUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,0,1,20,0,1,0,0,synthetic,none,syn-std-bg-4552,2026-04-01T00:40:09Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012740,10.200.1.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,1,0,0,1,1,1,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-9639,2026-04-01T00:43:47Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-008126,194.26.29.112,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
PutRolePolicy,iam.amazonaws.com,ap-southeast-1,IAMUser,Console,1,1,0,1,1,1,1,0,0,synthetic,role_inline_policy_backdoor,syn-std-th-7110,2026-04-01T00:48:16Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-007741,198.51.100.24,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
PassRole,iam.amazonaws.com,us-east-1,IAMUser,Script_Tool,1,0,0,1,0,0,1,0,0,synthetic,pass_role_privilege_escalation,syn-std-th-5588,2026-04-01T00:50:29Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-000456,45.154.255.99,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
PassRole,iam.amazonaws.com,sa-east-1,IAMUser,Console,1,1,0,1,1,0,1,0,1,synthetic,pass_role_privilege_escalation,syn-std-th-7197,2026-04-01T00:54:20Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-002617,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
