event_time,event_source,event_name,aws_region,source_ip,user_agent,identity_arn,identity_type,user_name,is_new_ip_for_identity,is_new_region_for_identity,event_hour,is_off_hours,call_frequency_10m,target_user_is_different,is_privilege_action,error_status,mfa_authenticated,data_source,attack_type,scenario_id,is_threat
2026-04-12T11:13:28Z,iam.amazonaws.com,ListRoles,us-west-2,10.50.2.11,aws-cli/2.11.0 Python/3.11.2,arn:aws:iam::123456789012:user/carol_secops,IAMUser,carol_secops,0,0,11,0,4,0,0,0,1,synthetic,none,syn-seq-benign-0198,0
2026-04-21T03:22:38Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,192.168.1.88,AWS Management Console,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,0,0,3,1,8,0,1,1,0,synthetic,privilege_escalation_role_policy,syn-std-th-8097,1
2026-04-21T10:20:10Z,iam.amazonaws.com,ListRoles,us-east-1,10.50.2.10,aws-cli/2.11.0 Python/3.11.2,arn:aws:iam::123456789012:user/carol_secops,IAMUser,carol_secops,0,0,10,0,9,0,0,0,1,synthetic,none,syn-seq-benign-0270,0
2026-04-02T08:07:23Z,iam.amazonaws.com,PutUserPolicy,us-east-1,10.100.4.12,aws-cli/2.11.0 Python/3.11.2,arn:aws:iam::123456789012:role/DevOpsAdminRole,AssumedRole,DevOpsAdminRole,0,0,8,0,3,0,1,0,0,synthetic,none,syn-std-bg-8549,0
2026-04-14T10:53:35Z,sts.amazonaws.com,AssumeRole,us-east-1,192.168.1.88,AWS Management Console,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,0,0,10,0,9,0,1,0,1,synthetic,none,syn-std-bg-1593,0
2026-04-16T12:10:42Z,iam.amazonaws.com,PutUserPolicy,us-east-1,194.26.29.112,Kali-Linux-CloudSploit,arn:aws:iam::123456789012:role/AppBackendServiceRole,AssumedRole,AppBackendServiceRole,1,0,12,0,7,0,1,0,0,synthetic,inline_policy_injection,syn-std-th-1735,1
2026-04-24T13:32:28Z,iam.amazonaws.com,PutRolePolicy,us-east-1,172.16.9.223,Python/3.11 aiobotocore/2.5.0,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,1,0,13,0,1,0,1,0,0,synthetic,none,syn-std-bg-3556,0
2026-04-10T02:30:57Z,iam.amazonaws.com,PutRolePolicy,us-east-1,10.200.1.5,aws-sdk-go/v2.1.0,arn:aws:iam::123456789012:role/JenkinsCICDRunner,AssumedRole,JenkinsCICDRunner,0,0,2,1,3,0,1,0,0,synthetic,none,syn-std-bg-6574,0
2026-04-06T03:15:49Z,s3.amazonaws.com,ListBuckets,us-east-1,194.26.29.112,Kali-Linux-CloudSploit,arn:aws:iam::123456789012:user/alice_lead_dev,IAMUser,alice_lead_dev,1,0,3,1,16,0,0,0,0,synthetic,permission_probing,syn-seq-threat-0092,1
2026-04-16T09:05:53Z,iam.amazonaws.com,UpdateAccessKey,us-east-1,10.200.1.6,curl/7.88.1,arn:aws:iam::123456789012:role/JenkinsCICDRunner,AssumedRole,JenkinsCICDRunner,0,0,9,0,8,1,1,0,0,synthetic,credential_activation_abuse,syn-std-th-9064,1
2026-04-06T02:30:33Z,sts.amazonaws.com,AssumeRole,us-east-1,192.168.1.88,AWS Management Console,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,0,0,2,1,32,1,1,1,0,synthetic,unauthorized_role_assumption,syn-std-th-2116,1
2026-04-05T20:49:55Z,s3.amazonaws.com,GetObject,us-west-2,10.50.2.11,aws-cli/2.11.0 Python/3.11.2,arn:aws:iam::123456789012:user/carol_secops,IAMUser,carol_secops,0,0,20,0,9,0,0,0,1,synthetic,none,syn-std-bg-5225,0
2026-04-21T13:54:14Z,s3.amazonaws.com,ListBuckets,eu-west-1,194.26.29.112,AWS Management Console,arn:aws:iam::123456789012:user/alice_lead_dev,IAMUser,alice_lead_dev,1,1,13,0,29,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-3265,1
2026-04-08T11:31:29Z,sts.amazonaws.com,GetCallerIdentity,us-east-1,192.168.1.88,AWS Management Console,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,0,0,11,0,2,0,0,0,0,synthetic,none,syn-std-bg-9221,0
2026-04-20T03:23:40Z,sts.amazonaws.com,AssumeRole,sa-east-1,10.200.1.5,aws-sdk-go/v2.1.0,arn:aws:iam::123456789012:role/JenkinsCICDRunner,AssumedRole,JenkinsCICDRunner,0,1,3,1,30,1,1,0,0,synthetic,unauthorized_role_assumption,syn-std-th-5662,1
2026-04-10T05:24:25Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,10.200.1.5,aws-sdk-go/v2.1.0,arn:aws:iam::123456789012:role/JenkinsCICDRunner,AssumedRole,JenkinsCICDRunner,0,0,5,1,22,0,1,0,0,synthetic,none,syn-std-bg-7968,0
2026-04-15T02:23:19Z,iam.amazonaws.com,AttachRolePolicy,sa-east-1,194.26.29.112,aws-sdk-go/v2.1.0,arn:aws:iam::123456789012:role/JenkinsCICDRunner,AssumedRole,JenkinsCICDRunner,1,1,2,1,18,1,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-8786,1
2026-04-17T14:54:26Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,10.200.1.6,aws-sdk-go/v2.1.0,arn:aws:iam::123456789012:role/JenkinsCICDRunner,AssumedRole,JenkinsCICDRunner,0,0,14,0,2,0,1,1,0,synthetic,privilege_escalation_user_policy,syn-std-th-4286,1
2026-04-26T17:35:50Z,iam.amazonaws.com,ListRoles,us-east-1,192.168.1.88,AWS Management Console,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,0,0,17,0,4,0,0,1,1,synthetic,none,syn-std-bg-7831,0
2026-04-15T15:16:54Z,iam.amazonaws.com,ListRoles,us-east-2,10.100.4.15,aws-cli/2.11.0 Python/3.11.2,arn:aws:iam::123456789012:role/DevOpsAdminRole,AssumedRole,DevOpsAdminRole,0,0,15,0,10,0,0,0,1,synthetic,permission_probing,syn-seq-threat-0262,1
2026-04-08T16:46:47Z,iam.amazonaws.com,PutRolePolicy,us-east-1,192.168.1.88,AWS Management Console,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,0,0,16,0,6,0,1,0,1,synthetic,none,syn-std-bg-8419,0
2026-04-11T15:56:11Z,iam.amazonaws.com,CreateAccessKey,us-east-1,192.168.1.88,AWS Management Console,arn:aws:iam::123456789012:user/bob_contractor,IAMUser,bob_contractor,0,0,15,0,7,0,1,0,0,synthetic,none,syn-std-bg-8124,0
2026-04-15T03:18:02Z,sts.amazonaws.com,GetCallerIdentity,sa-east-1,194.26.29.112,python-requests/2.31.0,arn:aws:iam::123456789012:role/DevOpsAdminRole,AssumedRole,DevOpsAdminRole,1,1,3,1,2,0,0,0,0,synthetic,discovery_reconnaissance,syn-seq-threat-0149,1
2026-04-07T14:54:18Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,10.50.2.11,aws-cli/2.11.0 Python/3.11.2,arn:aws:iam::123456789012:user/carol_secops,IAMUser,carol_secops,0,0,14,0,5,0,1,1,1,synthetic,none,syn-std-bg-7344,0
2026-05-01T23:40:31Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,10.10.15.23,Boto3/1.28.0 Python/3.10.6,arn:aws:iam::123456789012:role/AppBackendServiceRole,AssumedRole,AppBackendServiceRole,0,0,23,1,6,0,1,0,0,synthetic,none,syn-std-bg-9788,0
