event_name,event_source,aws_region,identity_type,user_agent_category,is_new_ip_for_identity,is_new_region_for_identity,event_hour,is_off_hours,call_frequency_10m,target_user_is_different,is_privilege_action,error_status,mfa_authenticated,data_source,attack_type,scenario_id,event_time,identity_session_id,original_event_id,source_ip,user_name,identity_arn,is_threat,error_type
PutRolePolicy,iam.amazonaws.com,ap-southeast-1,AssumedRole,CLI,0,0,18,0,1,0,1,1,0,synthetic,none,syn-std-bg-1773,2026-04-28T18:42:10Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-003468,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
DescribeSecurityGroups,ec2.amazonaws.com,sa-east-1,AssumedRole,SDK,0,0,4,1,0,0,0,0,0,synthetic,none,syn-std-bg-1744,2026-04-24T04:57:32Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-007488,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,15,0,5,1,1,1,0,synthetic,none,syn-seq-benign-0155,2026-04-23T15:29:48Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009662,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
DescribeSecurityGroups,ec2.amazonaws.com,sa-east-1,AssumedRole,CLI,0,0,2,1,0,0,0,0,0,synthetic,none,syn-std-bg-2399,2026-04-22T02:57:17Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013858,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
AttachRolePolicy,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,17,0,1,1,1,1,0,synthetic,none,syn-std-bg-7484,2026-04-02T17:17:24Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009541,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
ListBuckets,s3.amazonaws.com,sa-east-1,IAMUser,Console,0,0,2,1,1,0,0,1,1,synthetic,none,syn-std-bg-4526,2026-04-11T02:25:56Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-006756,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
AttachUserPolicy,iam.amazonaws.com,us-west-2,AssumedRole,CLI,0,0,15,0,1,1,1,1,0,synthetic,none,syn-std-bg-6286,2026-04-28T15:09:12Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-006741,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
UpdateAccessKey,iam.amazonaws.com,ap-southeast-1,AssumedRole,CLI,0,0,18,0,2,1,1,0,0,synthetic,none,syn-std-bg-2593,2026-04-12T18:00:56Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-002478,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
GetObject,s3.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,3,1,0,0,0,0,0,synthetic,none,syn-std-bg-6751,2026-04-18T03:07:56Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-005066,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
ListUsers,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,2,1,1,0,0,0,0,synthetic,none,syn-std-bg-5306,2026-04-30T02:40:20Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-002371,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
AttachRolePolicy,iam.amazonaws.com,ap-southeast-1,AssumedRole,CLI,0,0,14,0,0,0,1,1,0,synthetic,none,syn-std-bg-8644,2026-04-20T14:43:03Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013768,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
CreateAccessKey,iam.amazonaws.com,eu-west-1,IAMUser,Console,0,0,16,0,1,0,1,1,0,synthetic,none,syn-std-bg-9132,2026-04-22T16:15:14Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-005799,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
AttachRolePolicy,iam.amazonaws.com,sa-east-1,AssumedRole,CLI,0,0,9,0,0,1,1,0,0,synthetic,none,syn-std-bg-9164,2026-04-15T09:52:32Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009001,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
AttachUserPolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,22,1,1,0,1,0,0,synthetic,none,syn-std-bg-5561,2026-04-11T22:19:02Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-007066,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
ListUsers,iam.amazonaws.com,us-east-2,IAMUser,Console,0,0,17,0,1,0,0,0,0,synthetic,none,syn-std-bg-9359,2026-04-27T17:27:46Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-003701,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
ListRoles,iam.amazonaws.com,us-west-2,AssumedRole,SDK,0,0,22,1,1,0,0,0,0,synthetic,none,syn-std-bg-9718,2026-04-20T22:47:28Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-008912,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
AttachRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,18,0,1,1,1,1,0,synthetic,none,syn-std-bg-1367,2026-04-21T18:25:48Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-008501,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
AssumeRole,sts.amazonaws.com,ap-southeast-1,AssumedRole,CLI,0,0,16,0,0,1,1,1,0,synthetic,none,syn-std-bg-1141,2026-04-26T16:05:50Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-002256,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,us-east-2,IAMUser,Console,0,0,1,1,1,0,0,1,1,synthetic,none,syn-std-bg-6705,2026-04-09T01:47:50Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-008737,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,us-west-2,AssumedRole,SDK,0,0,3,1,2,0,0,0,0,synthetic,none,syn-std-bg-1368,2026-04-09T03:57:26Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-007212,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,ap-southeast-1,IAMUser,CLI,0,0,10,0,0,0,0,0,0,synthetic,none,syn-std-bg-7746,2026-04-27T10:02:02Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-009464,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,SDK,0,0,18,0,0,1,1,0,0,synthetic,none,syn-std-bg-7988,2026-04-04T18:06:45Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-010694,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
PassRole,iam.amazonaws.com,sa-east-1,IAMUser,Console,0,0,12,0,1,0,1,0,0,synthetic,none,syn-std-bg-2551,2026-04-08T12:55:55Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-008010,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,12,0,2,0,0,0,0,synthetic,none,syn-std-bg-1729,2026-04-10T12:42:12Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-009900,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
AttachUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,0,0,1,1,0,synthetic,none,syn-std-bg-7245,2026-04-24T03:52:56Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-005187,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
GetObject,s3.amazonaws.com,eu-west-1,IAMUser,Console,0,0,0,1,0,0,0,1,1,synthetic,none,syn-std-bg-9422,2026-04-03T00:58:42Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-009728,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
ListBuckets,s3.amazonaws.com,us-west-2,AssumedRole,SDK,0,0,13,0,1,0,0,1,0,synthetic,none,syn-std-bg-6046,2026-04-01T13:10:04Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-010758,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0,False_Positive
GetObject,s3.amazonaws.com,us-east-2,AssumedRole,SDK,0,0,0,1,1,0,0,0,0,synthetic,none,syn-std-bg-8555,2026-04-21T00:03:11Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-006199,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,us-west-2,IAMUser,CLI,0,0,11,0,0,0,0,0,0,synthetic,none,syn-std-bg-2299,2026-04-22T11:39:29Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-005067,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,17,0,0,0,0,0,0,synthetic,none,syn-std-bg-5493,2026-04-04T17:56:25Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-012301,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
UpdateAccessKey,iam.amazonaws.com,sa-east-1,AssumedRole,CLI,0,0,16,0,0,0,1,1,0,synthetic,none,syn-std-bg-4801,2026-04-24T16:41:40Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009716,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
DescribeInstances,ec2.amazonaws.com,eu-west-1,AssumedRole,CLI,0,0,22,1,1,0,0,0,0,synthetic,none,syn-seq-benign-0235,2026-04-22T22:06:14Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-003851,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
UpdateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,5,1,0,0,1,0,0,synthetic,none,syn-std-bg-5978,2026-04-21T05:00:38Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-009115,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
CreateAccessKey,iam.amazonaws.com,sa-east-1,IAMUser,SDK,0,0,11,0,0,1,1,0,1,synthetic,none,syn-std-bg-4502,2026-04-19T11:31:08Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-003748,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,0,0,1,1,0,synthetic,none,syn-std-bg-3515,2026-04-19T15:28:02Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-004481,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
ListBuckets,s3.amazonaws.com,ap-southeast-1,IAMUser,Console,0,0,3,1,2,0,0,0,1,synthetic,none,syn-std-bg-1252,2026-04-14T03:14:38Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-006573,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
PutRolePolicy,iam.amazonaws.com,sa-east-1,IAMUser,Console,0,0,4,1,0,0,1,1,1,synthetic,none,syn-std-bg-9607,2026-04-29T04:40:11Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-008361,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
DescribeInstances,ec2.amazonaws.com,ap-southeast-1,AssumedRole,CLI,0,0,10,0,0,0,0,1,0,synthetic,none,syn-std-bg-4911,2026-04-06T10:40:28Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009131,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
